2022;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Kota Prabumulih;68,84;623429,00;13,03;75,52;11,28;1,37;0,26;13106;10,20;70,87;
Kota Pagar Alam;65,21;370417,00;13,24;69,60;8,47;0,88;0,18;9330;9,41;67,29;
Kota Lubuklinggau;67,54;541784,00;13,39;75,53;12,68;1,50;0,27;13832;9,91;69,82;
Bengkulu Selatan;66,06;435955,00;13,63;71,42;17,86;2,97;0,71;10318;9,39;68,15;
Rejang Lebong;67,09;530029,00;14,01;71,45;15,65;2,76;0,67;10547;8,55;69,00;
Bengkulu Utara;66,36;423857,00;12,89;69,77;11,48;1,61;0,34;10774;8,10;68,53;
Kaur;65,06;371660,00;13,07;67,77;18,10;4,22;1,23;9009;8,39;67,01;
Seluma;66,21;444931,00;13,30;67,76;18,36;3,02;0,77;8657;8,09;68,13;
Mukomuko;65,01;494426,00;12,76;69,12;11,44;2,05;0,57;10747;8,31;67,00;
Lebong;61,42;472738,00;12,75;68,12;12,03;1,15;0,22;11644;8,24;63,68;
Kepahiang;66,27;433660,00;13,13;69,09;14,53;2,20;0,50;9708;8,30;68,28;
Bengkulu Tengah;66,31;512084,00;13,45;68,47;9,76;1,69;0,39;9697;7,49;68,37;
Kota Bengkulu;68,48;785905,00;16,04;80,99;15,73;3,21;0,90;14503;11,82;70,46;
Lampung Barat;65,76;495283,00;12,27;68,39;11,71;1,89;0,45;10175;8,20;67,90;
Tanggamus;66,92;430697,00;12,30;67,22;10,98;1,42;0,29;9557;7,35;68,95;
Lampung Selatan;67,62;470857,00;12,54;69,00;13,14;1,87;0,41;10266;7,72;69,69;
Lampung Timur;68,95;433965,00;12,96;70,58;13,98;2,31;0,56;10403;8,04;71,01;
Lampung Tengah;68,00;474289,00;12,95;70,80;10,96;1,64;0,35;11710;7,64;70,08;
Lampung Utara;67,48;475290,00;12,54;68,33;18,41;2,95;0,72;8951;8,35;69,57;
Way Kanan;67,58;409522,00;12,42;68,04;11,76;2,15;0,50;9450;7,72;69,69;
Tulangbawang;68,14;486739,00;12,28;69,53;8,42;1,17;0,26;11114;7,56;70,22;
Pesawaran;67,37;452521,00;12,61;66,70;13,85;2,00;0,42;8192;7,77;69,44;
Pringsewu;68,58;511679,00;12,91;70,98;9,34;1,07;0,19;10577;8,40;70,65;
Mesuji;66,36;459977,00;11,80;64,94;6,84;0,65;0,11;8466;7,09;68,51;
Tulang Bawang Barat;68,18;476712,00;12,09;67,13;7,44;0,88;0,16;8737;7,72;70,23;
Pesisir Barat;61,99;496629,00;12,13;65,14;13,84;2,22;0,53;8663;8,53;63,99;
Kota Bandar Lampung;69,61;698598,00;14,71;78,01;8,21;1,34;0,35;12593;10,96;71,66;
Kota Metro;69,88;449415,00;14,76;77,89;7,87;0,87;0,16;12233;10,98;71,88;
Bangka;69,34;639535,00;12,80;72,95;4,26;0,67;0,15;12863;8,27;71,37;
Belitung;69,24;860629,00;11,89;73,38;6,45;0,93;0,26;14045;8,74;71,31;
Bangka Barat;68,19;635861,00;11,72;70,12;2,46;0,27;0,06;12790;7,46;70,25;
Bangka Tengah;69,84;773509,00;12,11;71,40;4,86;0,62;0,14;13422;7,22;71,82;
Bangka Selatan;66,51;621629,00;11,43;67,95;3,22;0,25;0,03;12341;6,89;68,68;
Belitung Timur;70,35;854534,00;11,65;72,29;6,49;0,90;0,19;12357;8,67;72,33;
Kota Pangkal Pinang;71,71;858840,00;13,17;79,24;4,55;0,79;0,21;16307;10,27;73,68;
Karimun;69,50;446856,00;12,59;72,65;6,87;0,78;0,13;12304;8,48;71,53;
Bintan;68,66;447933,00;13,27;74,99;6,44;0,91;0,16;14739;8,70;70,76;
Natuna;63,72;449302,00;13,92;73,47;5,32;1,06;0,25;14834;8,96;65,76;
Lingga;60,95;507223,00;12,61;66,57;14,05;2,53;0,64;12134;7,12;62,92;
Kepulauan Anambas;65,67;452220,00;12,89;69,61;7,51;0,92;0,22;12137;7,38;67,73;
Kota Batam;71,63;783730,00;13,32;81,67;5,19;0,76;0,17;18506;11,17;73,62;
Kota Tanjung Pinang;70,49;764410,00;14,14;79,64;9,85;1,64;0,44;15864;10,49;72,49;
Kep. Seribu;67,02;701088,00;12,65;72,79;14,11;1,75;0,37;12999;9,02;69,20;
Kota Jakarta Selatan;72,60;842630,00;13,35;85,21;3,52;0,79;0,26;24221;11,66;74,49;
Kota Jakarta Timur;72,98;630842,00;13,97;83,45;4,30;0,56;0,13;18199;11,73;74,83;
Kota Jakarta Pusat;72,55;733176,00;13,28;82,11;4,90;0,73;0,15;17765;11,53;74,48;
Kota Jakarta Barat;71,97;599514,00;12,82;82,51;4,22;0,65;0,14;21357;11,13;73,81;
Kota Jakarta Utara;71,58;645431,00;12,66;80,81;7,24;1,15;0,30;19201;10,82;73,47;
Bogor;69,72;443787,00;12,50;71,20;7,73;1,49;0,45;10860;8,34;71,65;
Sukabumi;69,53;357636,00;12,25;67,64;7,34;0,93;0,19;9210;7,11;71,54;
Cianjur;68,62;406829,00;12,01;65,94;10,55;1,35;0,27;8244;7,20;70,58;
Bandung;72,14;398884,00;12,71;73,16;6,80;0,90;0,21;10588;9,08;74,01;
Garut;69,74;335134,00;12,15;67,41;10,42;1,81;0,45;8227;7,83;71,85;
Tasikmalaya;67,97;347917,00;12,59;66,84;10,73;1,42;0,28;8177;7,73;69,95;
Ciamis;70,39;405294,00;14,28;71,45;7,72;1,07;0,24;9428;8,00;72,30;
Kuningan;72,18;371665,00;12,24;70,16;12,76;2,14;0,53;9620;7,88;74,03;
Cirebon;70,54;416914,00;12,28;70,06;12,01;2,27;0,59;10791;7,40;72,47;
Majalengka;68,79;483319,00;12,24;68,56;11,94;1,55;0,36;9950;7,49;70,76;
Sumedang;70,95;371870,00;12,99;72,69;10,14;1,98;0,53;10776;8,72;72,91;
Indramayu;70,24;499805,00;12,27;68,55;12,77;1,72;0,48;10166;6,83;72,15;
Subang;71,03;372308,00;11,78;69,87;9,75;1,55;0,41;11294;7,20;72,92;
Purwakarta;69,50;403663,00;12,13;71,56;8,70;1,19;0,25;12193;8,11;71,47;
Karawang;70,69;521158,00;12,19;71,74;8,44;1,58;0,41;11927;7,96;72,62;
Bekasi;72,17;579221,00;13,11;75,22;5,01;0,74;0,18;11757;9,53;74,04;
Bandung Barat;70,88;393956,00;11,89;69,04;10,82;1,70;0,41;9044;8,22;72,79;
Pangandaran;69,94;411174,00;12,11;69,03;9,32;1,24;0,26;9389;8,03;71,89;
Kota Bogor;72,25;608949,00;13,43;77,17;7,10;1,27;0,29;12058;10,63;74,13;
Kota Sukabumi;70,92;594118,00;13,59;75,40;8,02;1,27;0,38;11229;10,14;72,85;
Kota Bandung;72,92;545675,00;14,23;82,50;4,25;0,70;0,17;17639;11,00;74,75;
Kota Cirebon;70,82;485613,00;13,14;75,89;9,82;1,34;0,30;12087;10,33;72,74;
Kota Bekasi;73,70;731392,00;14,11;82,46;4,43;0,96;0,27;16239;11,44;75,48;
Kota Depok;73,08;744771,00;13,94;81,86;2,53;0,42;0,10;15926;11,47;74,92;
Kota Cimahi;72,66;549450,00;13,82;78,77;5,11;0,67;0,14;12500;11,21;74,50;
Kota Tasikmalaya;70,73;498711,00;13,47;73,83;12,72;2,34;0,65;10578;9,53;72,63;
Kota Banjar;69,53;373510,00;13,25;72,55;6,73;1,02;0,28;10967;8,78;71,49;
Cilacap;72,25;384955,00;12,66;70,99;11,02;1,47;0,33;10904;7,18;74,07;
Banyumas;72,06;441520,00;13,21;73,17;12,84;1,75;0,35;11905;7,78;73,88;
Purbalingga;71,38;407849,00;12,01;69,54;15,30;2,08;0,48;10277;7,33;73,28;
Banjarnegara;72,49;351333,00;11,81;68,61;15,20;2,34;0,48;9776;6,84;74,37;
Kebumen;71,80;416004,00;13,36;70,79;16,41;3,41;1,02;9282;7,85;73,70;
Purworejo;73,16;393731,00;13,52;73,60;11,53;1,31;0,24;10671;8,32;75,03;
Wonosobo;70,12;399180,00;11,78;68,89;16,17;3,18;0,86;11108;6,88;72,05;
Magelang;72,13;377497,00;12,58;70,85;11,09;1,66;0,41;10011;7,81;74,03;
Boyolali;74,32;383030,00;12,62;74,97;9,82;1,13;0,20;13250;8,08;76,12;
Klaten;75,18;458872,00;13,40;76,95;12,33;1,86;0,44;12522;9,09;76,95;
Sukoharjo;76,09;434318,00;13,90;77,94;7,61;0,87;0,14;11841;9,62;77,82;
Wonogiri;74,53;376763,00;12,51;71,04;10,99;1,33;0,29;9780;7,42;76,41;
Karanganyar;75,89;424677,00;13,70;76,58;9,85;1,64;0,37;11798;8,79;77,64;
Sragen;74,10;389265,00;12,91;74,65;12,94;2,07;0,47;13052;7,79;75,87;
Grobogan;73,10;428597,00;12,45;70,97;11,80;1,95;0,45;10610;7,26;74,93;
Blora;72,78;390478,00;12,44;69,95;11,53;1,80;0,42;10067;7,01;74,60;
Rembang;72,79;441482,00;12,13;71,00;14,65;2,41;0,59;10937;7,41;74,68;
Pati;74,34;486855,00;12,95;73,14;9,33;1,20;0,25;10948;7,79;76,32;
Kudus;74,94;482806,00;13,25;75,89;7,41;0,90;0,19;11609;9,06;76,76;
