TAHUN;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Serang;62,5;309036;12,43;66,38;4,08;0,65;0,16;10802;7,33;64,47;76906395,06
Kota Tangerang;69,57;584318;13,84;78,43;4,43;0,64;0,15;14860;10,65;71,57;171732446,3
Kota Cilegon;64,59;459469;13,15;73,01;3,03;0,34;0,07;13230;9,74;66,60;103931063,6
Kota Serang;65,79;379641;12,77;72,1;5,28;0,51;0,11;13418;8,67;67,83;31602577,25
Kota Tangerang Selatan;70,43;593781;14,43;81,48;1,68;0,27;0,07;15988;11,80;72,41;82769481,67
Jembrana;70,23;390102;12,63;72,35;4,88;0,59;0,11;11902;8,22;72,21;14136696,15
Tabanan;71,59;425926;12,99;76,16;4,21;0,26;0,03;14608;8,87;73,53;23795932,13
Badung;73,11;547186;13,97;81,59;1,78;0,16;0,03;17628;10,38;74,99;62836113,71
Gianyar;71,62;382380;13,8;77,14;3,88;0,27;0,03;14623;8,94;73,56;28520276,65
Klungkung;69,05;312864;12,98;71,71;5,4;0,62;0,13;11484;8,12;71,06;9099504,099
Bangli;68,34;329014;12,33;69,35;4,44;0,24;0,02;11369;7,16;70,37;6993642,448
Karangasem;68,32;315805;12,4;67,34;6,25;0,75;0,14;10302;6,31;70,35;17086880,04
Buleleng;69,68;401377;12,91;72,3;5,19;0,72;0,14;13780;7,08;71,68;35362315,65
Kota Denpasar;72,79;571246;13,99;83,68;2,1;0,29;0,06;19992;11,23;74,68;55456044,06
Lombok Barat;64,63;431862;13,48;68,03;15,17;3,42;0,98;11647;6,37;66,64;15452078,97
Lombok Tengah;63,99;404633;13,5;66,36;13,63;1,56;0,25;10196;6,27;65,99;17847298,26
Lombok Timur;63,75;430727;13,51;66,23;16,15;1,48;0,25;9639;6,69;65,74;20312142,09
Sumbawa;65,28;340254;12,97;67,6;13,9;2,56;0,59;9336;7,91;67,31;14803285,32
Dompu;64,59;328740;13,31;67,83;12,25;1,62;0,35;9027;8,40;66,60;7164672,908
Bima;64,11;327602;13,28;66,37;14,76;2,18;0,51;8631;7,77;66,11;11630913,49
Sumbawa Barat;65,76;468122;13,61;71,52;13,85;2,83;0,93;11766;8,53;67,80;17431937,24
Lombok Utara;64,9;437543;12,71;64,49;29,03;7,39;2,42;9279;5,84;66,92;4862645,868
Kota Mataram;69,6;480304;15,58;79,1;8,92;1,55;0,45;15426;9,45;71,59;19477378,82
Kota Bima;68,18;352593;14,99;75,8;8,6;1,58;0,36;11334;10,38;70,20;4267454,867
Sumba Barat;64,96;331713;12,89;63,56;28,29;5,11;1,37;7586;6,53;66,98;2334270,549
Sumba Timur;62,96;343589;12,81;65,34;30,02;8,57;3,14;9640;6,86;64,94;6256177,543
Kupang;62,43;356463;13,84;64,43;23,03;4,48;1,28;7698;7,37;64,39;7602122,205
Timor Tengah Selatan;64,31;318986;12,56;62,23;27,87;6,68;2,09;6955;6,72;66,32;7919627,889
Timor Tengah Utara;64,84;363162;13,3;63,34;22,45;4,05;1,09;6479;7,51;66,86;4088904,656
Belu;62,39;349414;12,26;62,54;15,54;2,66;0,61;7677;7,11;64,35;4482254,447
Alor;59,38;311560;12,11;61,03;21,59;4,13;1,07;6958;8,09;61,29;3055042,196
Lembata;64,95;359792;12,4;64,91;26,3;5,03;1,28;7474;8,21;66,97;1856806,64
Flores Timur;63,12;279268;12,9;64,34;10,9;1,16;0,18;7770;7,70;65,10;5246068,641
Sikka;65,05;301994;12,87;64,75;13,53;2,11;0,47;8313;6,71;67,07;5121992,553
Ende;63,19;363508;13,77;67,2;23,18;4,22;1,11;9315;7,80;65,17;6105192,791
Ngada;65,92;336601;12,69;67,76;12,48;2,37;0,65;8961;8,37;67,96;3473019,373
Manggarai;64,76;316910;13,14;64,15;20,55;3,48;0,92;7276;7,27;66,77;4677114,283
Rote Ndao;62,38;305166;13,17;62,22;27,95;5,08;1,33;6720;7,29;64,34;3133983,681
Manggarai Barat;65,1;318546;11,96;63,5;18,01;3,39;0,9;7602;7,19;67,12;3466379,69
Sumba Tengah;66,28;285048;12,66;61,01;34,62;7,57;2,2;6198;5,96;68,32;1176634,284
Sumba Barat Daya;66,39;355252;13,05;62,6;28,06;4,35;0,93;6594;6,33;68,43;3754697,904
Nagekeo;65,01;328646;12,47;65,88;12,85;1,93;0,42;8469;7,83;67,03;2241365,597
Manggarai Timur;65,94;318762;11,69;60,47;26,49;4,74;1,15;5919;6,87;67,98;3212949,337
Sabu Raijua;58,35;374256;13,13;56,66;30,52;6,2;1,78;5354;6,33;60,23;1416734,04
Malaka;62,92;348919;12,77;60,34;16,12;2,81;0,7;5998;6,86;64,89;2780150,448
Kota Kupang;67,34;545219;16,24;79,55;9,22;1,6;0,39;13592;11,47;69,37;24410950,69
Sambas;66,79;427240;12,6;67,02;8,19;1,28;0,27;9924;6,70;68,83;20529976,46
Bengkayang;71,73;357112;12,08;67,57;6,96;1,22;0,28;9182;6,53;73,67;8645002,946
Landak;70,74;374117;12,39;65,96;11,47;1,71;0,38;7403;7,10;72,70;10546904,63
Mempawah;68,89;360962;12,33;65,5;5,32;0,8;0,17;7913;6,82;70,90;8298154,637
Sanggau;69,35;328763;11,56;65,67;4,57;0,48;0,09;8410;6,95;71,35;19158574,37
Ketapang;69;454160;11,79;67,16;10,54;1,51;0,37;9259;7,26;71,01;27488713,49
Sintang;69,62;556885;12,02;66,7;9,65;1,32;0,26;8823;6,89;71,62;14681419,84
Kapuas Hulu;70,46;452471;12,04;65,65;9,62;0,94;0,17;7206;7,47;72,44;10205696,04
Sekadau;69,66;329835;11,57;64,34;6,11;0,5;0,07;7640;6,60;71,65;6432288,909
Melawi;70,92;534933;11,15;65,54;12,38;2,24;0,6;8465;6,67;72,88;5143748,583
Kayong Utara;66,07;302811;11,81;62,66;9,98;1,69;0,42;7905;6,00;68,11;4133122,219
Kubu Raya;68,4;401586;13,64;67,76;4,74;0,75;0,17;8773;6,82;70,43;29105094,88
Kota Pontianak;70,83;523736;14,99;79,35;4,88;0,7;0,16;14515;10,14;72,80;38708215,95
Kota Singkawang;69,86;492131;12,89;71,72;4,91;0,53;0,1;11789;7,72;71,85;10228390,5
Kotawaringin Barat;68,48;360942;12,71;72,85;4,11;0,55;0,13;13175;8,41;70,51;19332098,04
Kotawaringin Timur;67,77;416777;12,69;71,16;5,9;0,92;0,24;11905;8,12;69,80;26809508,03
Kapuas;66,65;305809;12,9;69,38;5,09;0,56;0,1;11063;7,52;68,69;16616838,7
Barito Selatan;64,97;408072;12,54;70,1;4,39;0,39;0,05;11582;8,71;66,99;6369126,154
Barito Utara;69,29;472552;12,48;70,52;4,95;0,76;0,17;10010;8,60;71,29;9801119,585
Sukamara;69,49;469353;12,11;67,95;3,16;0,51;0,1;8738;7,91;71,49;4193483,917
Lamandau;67,31;430656;12,47;70,51;3,01;0,22;0,03;11278;8,38;69,34;5489935,614
Seruyan;67,38;454971;11,98;67,57;7,19;1,26;0,31;9385;7,93;69,25;8552209,91
Katingan;63,71;434609;12,51;68,55;5,02;0,94;0,3;10639;8,66;65,70;8223734,663
Pulang Pisau;65,94;365674;12,4;68,34;4,24;0,54;0,11;10104;8,08;67,98;5297948,621
Gunung Mas;68,29;403045;11,77;70,65;4,91;0,99;0,26;10822;9,03;70,32;5737900,494
Barito Timur;66,09;487185;12,82;71,34;6,32;0,72;0,12;11333;9,20;68,14;7548501,933
Murung Raya;67,44;462334;11,74;67,89;6;0,69;0,14;10471;7,46;69,47;8138125,221
Kota Palangka Raya;71,23;379420;14,94;80,77;3,35;0,43;0,09;14091;11,51;73,19;18330719,52
Tanah Laut;67,28;480010;11,96;69,04;4,51;0,58;0,11;11318;7,64;69,31;13902297,08
Kota Baru;67,06;416388;11,92;68,95;4,49;0,72;0,15;11731;7,42;69,10;24113346,66
Banjar;64,96;429422;12,28;68,94;2,72;0,26;0,03;12681;7,34;66,97;16626075,57
Barito Kuala;63,89;318995;12,38;66,24;4,63;0,44;0,07;9952;7,33;65,88;8696327,871
Tapin;68,21;406367;11,86;70,13;3,41;0,46;0,09;12088;7,75;70,23;8438249,395
Hulu Sungai Selatan;63,83;461581;12,1;68,8;5,33;0,72;0,15;12835;7,74;65,82;6555479,184
Hulu Sungai Tengah;63,83;365008;12,19;68,8;5,93;0,85;0,19;12257;7,99;65,82;7039389,039
Hulu Sungai Utara;61,62;436997;12,88;65,49;6,5;0,66;0,12;9772;7,37;63,58;4940268,001
Tabalong;68,3;463980;12,59;71,78;6,01;1,04;0,29;11476;8,78;70,33;18175413,59
Tanah Bumbu;68,05;475763;12,36;70,5;4,85;0,79;0,19;12025;7,71;70,08;20036047,04
Balangan;65,56;396532;12,37;68,39;5,55;0,87;0,2;11557;7,27;67,59;11027661,3
Kota Banjarmasin;68,97;509773;13,92;77,16;4,2;0,81;0,26;14547;9,94;70,98;33012593,07
Kota Banjar Baru;69,87;614757;14,8;79,22;4,3;0,86;0,26;13949;10,94;71,87;9701100,817
Paser;70,55;477440;13;72,29;8,95;1,57;0,4;10767;8,54;72,52;48025891,19
Kutai Barat;70,83;542393;12,89;71,63;9,09;1,48;0,41;10338;8,34;72,79;29135145,3
Kutai Kartanegara;70,23;503968;13,58;73,78;7,2;0,95;0,19;11152;9,10;72,21;162105544
Kutai Timur;71,08;569449;12,78;73,49;9,48;1,9;0,55;11196;9,18;73,03;133873512,6
Berau;69,96;526615;13,31;74,88;5,04;0,66;0,12;12726;9,25;71,94;39104693,57
Penajam Paser Utara;69,76;466918;12,55;71,64;7,18;1;0,28;11750;8,16;71,30;9124942,07
Mahakam Ulu;69,91;588756;12,5;67,58;11,25;1,94;0,55;8008;7,89;71,90;2718225,578
Kota Balikpapan;72,51;572108;14,13;80,11;2,42;0,26;0,06;14791;10,67;74,41;105138568,1
Kota Samarinda;72,26;658307;14,7;80,2;4,59;0,57;0,11;14613;10,47;74,17;67604540,75
Kota Bontang;72,27;582188;12,9;80,09;4,22;0,42;0,08;16843;10,73;74,18;58006656,54
Malinau;71,2;585654;13,29;72,06;6,96;0,85;0,14;10121;9,05;71,42;10618375,54
Bulungan;71,53;448548;12,99;71,66;8,78;1,64;0,45;9648;8,93;72,60;18344046,92
Tana Tidung;70,62;406949;12,2;67,79;4,72;0,32;0,04;7981;8,53;71,38;5663548,71
Nunukan;70,52;430630;12,63;66,32;6,11;1,32;0,42;7290;7,81;71,30;25430864,44
Kota Tarakan;73,32;654308;13,73;76,09;6;0,7;0,16;11509;9,96;73,92;36266948,88
Bolaang Mongondow;67,18;315400;11,41;67,82;7,47;1,26;0,26;10470;7,77;69,22;8030465,122
Minahasa;68,97;275444;13,97;75,47;7,18;1,02;0,2;12720;9,58;70,98;17119637,74
Kepulauan Sangihe;67,93;263268;12,31;70,53;11,15;1,52;0,29;11663;8,04;69,96;4247878,028
Kepulauan Talaud;68,01;284681;12,27;68,97;9,86;1;0,17;8638;9,25;70,04;2207729,553
Minahasa Selatan;67,77;324860;12,43;71,68;9,26;1,31;0,27;11760;8,85;69,80;8599650,081
Minahasa Utara;69,31;321679;12,69;73,95;6,93;0,87;0,16;11712;9,93;71,31;13838672,96
Bolaang Mongondow Utara;65,51;254835;11,9;66,91;8,45;1,32;0,34;9366;8,12;67,54;2487774,697
Siau Tagulandang Biaro;68,52;302736;11,64;67,48;9,56;1,52;0,3;8252;8,75;70,54;2366737,627
Minahasa Tenggara;68,04;325896;12,04;70,47;12,78;1,7;0,32;10665;8,87;70,07;5112061,178
Bolaang Mongondow Selatan;62,48;316305;12,28;65,28;13,27;1,13;0,19;9229;7,80;64,45;2083907,775
Bolaang Mongondow Timur;65,77;323989;11,5;66,08;6,1;0,7;0,13;9483;7,59;67,81;2878949,601
Kota Manado;69,81;396196;14,14;79,12;5,51;0,89;0,2;14232;11,26;71,80;37386743,27
Kota Bitung;68,99;391479;12,6;74,2;6,49;0,89;0,21;12383;9,87;71,00;16309509,56
Kota Tomohon;69,8;394584;14,19;76,67;5,62;0,78;0,21;12152;10,48;71,79;4290122,188
Kota Kotamobagu;68,3;323292;12,78;73,22;5,71;0,68;0,13;11098;10,09;70,33;3694343,99
Banggai Kepulauan;63,72;338815;13,05;65,13;14,84;1,98;0,4;7619;8,19;65,71;3865667,56
Banggai;68,58;395700;13,23;70,36;7,8;1,15;0,26;9842;8,24;70,61;29527932,6
Morowali;66,78;428744;13,33;72,02;13,75;2,12;0,5;11277;9,11;68,82;45349583,77
Poso;68,83;477801;13,69;71,4;15,65;2,87;0,8;9084;9,36;70,85;9471862,45
Donggala;64,84;336404;12,48;65,49;18,4;2,86;0,76;8189;7,86;66,85;12040466,7
Toli-Toli;63,32;317448;12,72;65,42;13,09;1,89;0,46;8156;8,26;65,30;8452601,36
Buol;66,13;351135;13,08;67,69;15,19;2,89;0,78;8151;8,75;68,17;5716683,62
Parigi Moutong;61,98;414380;12,46;65,47;16,64;3,06;0,91;9878;7,47;63,94;17844979,6
Tojo Una-Una;63,16;472245;12,25;64,52;17,16;1,76;0,22;7765;8,38;65,14;5691846,82
Sigi;67,54;344631;12,86;68,16;12,91;2,17;0,6;8375;8,53;69,57;8979021,84
Banggai Laut;62,82;335604;12,89;65,27;15,34;2,49;0,56;7888;8,51;64,79;2390825,91
Morowali Utara;67,16;441554;12,23;68,45;15,08;2,9;0,77;9109;8,70;69,19;11091330,58
Kota Palu;68,66;522444;16,22;81,5;6,83;0,99;0,22;15205;11,60;70,68;25033058,8
Kepulauan Selayar;66,3;370380;12,48;66,91;12,83;2,87;0,9;9028;7,63;68,34;6444224,785
Bulukumba;65,66;330161;12,91;68,28;7,26;0,6;0,09;10480;7,43;67,69;14214593,94
Bantaeng;68,4;309357;12,03;68,3;9,03;1,35;0,28;11592;6,48;70,42;8781044,54
Jeneponto;64,24;359883;11,97;64;14,88;2,02;0,41;9078;6,48;66,24;10089861,29
Takalar;64,99;356973;12,25;66,94;8,7;1,08;0,19;10474;7,18;67,01;10157346,94
Gowa;68,35;385820;13,48;69,66;7,53;0,92;0,17;9369;7,97;70,37;20938996,54
Sinjai;65,15;294916;12,87;67,05;9,14;1,08;0,22;9465;7,48;67,17;10960624,78
Maros;66,95;405944;13,02;69,5;9,89;2,5;0,89;10981;7,46;68,98;22717974,51
Pangkajene dan Kepulauan;64,48;322958;12,51;68,29;14,06;1,81;0,31;11392;7,60;66,49;25990178,03
Barru;66,87;322248;13,57;70,6;8,57;1,07;0,21;10911;7,96;68,91;7271220,831
Bone;64,87;325422;12,8;65,67;10,06;1,35;0,29;8954;6,98;66,88;36034839,17
Soppeng;67,4;297546;12,73;68,26;7,25;0,69;0,12;9444;7,74;69,43;10938272,12
Wajo;65,15;311017;13,13;69,05;6,91;1,06;0,26;12399;6,80;67,17;19838813,53
Sidenreng Rappang;67,56;312800;12,93;71,05;4,79;0,6;0,13;12039;7,83;69,59;13893724,49
Pinrang;67,36;294349;13,22;71,12;8,46;1,54;0,4;11828;7,85;69,39;19630319,95
Enrekang;68,82;331667;13,69;72,66;12,33;1,7;0,38;10800;8,89;70,83;7298244,008
Luwu;68,17;318911;13,32;70,39;12,78;2,71;0,72;10085;8,15;70,19;15657672,08
Tana Toraja;71,2;316911;13,58;68,25;12,35;3,1;1,12;7253;8,02;73,15;7479773,623
Luwu Utara;66,27;342277;12,42;69,46;13,6;2,55;0,61;11583;7,78;68,31;13047331,17
Luwu Timur;68,36;333739;12,82;72,8;6,98;1,11;0,25;12802;8,54;70,38;20994219,79
Toraja Utara;71,4;314426;13,37;69,23;12,41;1,99;0,46;8083;7,92;73,35;9596352,477
Kota Makasar;70,01;418831;15,56;82,25;4,28;0,6;0,15;16989;11,20;72,00;178430057,2
Kota Parepare;69,17;323839;14,49;77,62;5,26;0,71;0,15;13648;10,30;71,18;7230401,131
Kota Palopo;68,77;324233;15,07;77,98;7,82;1,15;0,29;12986;10,75;70,79;7942481,042
Buton;65,88;254013;13,74;65,67;13,65;1,87;0,41;7366;7,51;67,92;3838522,305
Muna;68,15;342948;13,78;68,97;12,85;1,71;0,4;8253;8,35;70,18;6928623,304
Konawe;67,99;293801;12,99;71,29;12,34;2,23;0,58;10200;9,14;70,02;9514356,567
Kolaka;68,7;370036;12,8;73,01;11,92;1,79;0,5;12525;8,76;70,72;25891406,81
Konawe Selatan;68,5;235654;12,24;67,88;10,81;1,65;0,38;9115;7,74;70,52;12105045,68
Bombana;66,5;308396;11,83;65,65;10,56;1,01;0,2;8344;7,74;68,54;6385420,45
Wakatobi;68,1;278929;13,2;68,99;14,75;2,19;0,58;9388;7,73;70,13;4355854,768
Kolaka Utara;68,12;454127;12,1;68,91;13,19;3,2;1,13;10258;7,86;70,15;8674218,432
Buton Utara;68,73;331555;12,75;67,68;14,38;1,63;0,36;7534;8,75;70,75;3130904,135
Konawe Utara;67,2;273544;12,54;69,22;13,66;2,66;0,74;9215;8,97;69,23;3926028,906
Kolaka Timur;70,35;369870;12,15;66,49;13,71;2,25;0,58;7832;7,35;72,33;4427152,306
Konawe Kepulauan;66,21;314815;11,81;65,05;17,18;3,73;1,14;6832;9,18;68,25;1384400,771
Muna Barat;68,13;342811;12,2;64,45;13,84;2,2;0,48;7526;6,77;70,16;2589005,441
Buton Tengah;65,47;251702;12,7;64,06;15,77;1,64;0,34;7264;7,29;67,50;2337242,139
Buton Selatan;65,47;235847;12,94;64,37;14,66;2,38;0,61;7293;7,32;67,50;2905029,017
Kota Kendari;71,58;350647;16,28;82,86;4,44;0,8;0,26;14392;11,94;73,52;22153506,64
Kota Baubau;68,94;329977;14,81;75,21;7,27;1,05;0,28;10523;10,37;70,95;9037831,279
Boalemo;66,79;385122;12,43;65,53;18,87;2,92;0,68;8874;6,54;68,83;5411181,779
Gorontalo;65,42;333070;13,06;68,49;15,52;2,64;0,63;10075;7,69;67,93;12880839,3
Pohuwato;61,87;275240;12,36;65,27;18,16;3,27;0,87;10316;7,10;63,83;6621889,019
Bone Bolango;66,34;380029;13,45;69,63;16,12;4,15;1,39;10147;8,07;68,38;4578245,842
Gorontalo Utara;63,8;278746;12,44;64,52;16,95;2,24;0,45;8982;6,74;65,79;3369049,123
Kota Gorontalo;70,45;520095;14,32;77,08;5,45;0,68;0,13;12298;10,35;72,42;8452775,682
Majene;59,4;360362;13,6;66,59;13,72;1,99;0,48;10029;8,52;61,30;4970738,553
Polewali Mandar;60,25;376827;13,05;63,74;15,6;3;0,84;8598;7,40;62,18;13369858,8
Mamasa;68,73;256544;11,74;65,32;13,42;2,19;0,5;7769;7,37;70,75;2977766,415
Mamuju;65,21;259969;13,18;67,72;7,06;0,84;0,16;9535;7,69;67,23;11721694,55
Mamuju Utara;63,92;332145;11,66;67,27;4,28;0,46;0,09;11094;7,92;65,91;10094151,31
Mamuju Tengah;66,02;239592;11,92;65,1;6,87;1,37;0,34;8501;7,24;68,06;3146390,855
Maluku Tenggara Barat;61,39;423823;12,28;62,86;27,25;3,92;0,91;6396;9,55;63,34;2684243,815
Maluku Tenggara;62,98;464649;12,63;65,85;22,75;3,78;0,96;7625;9,50;64,95;3225119,164
Maluku Tengah;64,34;474224;14,15;71,25;20,04;3,67;0,95;10298;9,64;66,34;8659718,558
Buru;64,32;463169;13,02;68,91;16,74;3,39;0,95;10400;8,46;66,32;2404071,759
Kepulauan Aru;60,79;438848;12,29;63,64;26,73;4,14;0,98;7678;8,71;62,73;3476139,548
Seram Bagian Barat;59,56;394628;13,42;65,49;25,16;4,86;1,3;8704;8,86;61,48;3001670,988
Seram Bagian Timur;57,31;375040;12,75;63,74;23,13;4,35;1,18;9452;8,22;59,16;2904398,464
Maluku Barat Daya;60,24;468842;12,26;61,55;29,43;5,41;1,61;6888;8,14;62,16;1645531,826
Buru Selatan;64,13;596469;12,68;64,42;16,13;2,07;0,47;7627;7,70;66,13;1405878,87
Kota Ambon;68,33;571315;16,02;80,81;4,57;0,77;0,18;14233;11,91;70,35;14808718,93
Kota Tual;63,23;535425;13,9;67,74;22,68;3,39;0,76;7506;10,26;65,21;2457317,314
Halmahera Barat;64,13;324849;13,08;65,34;8,59;0,87;0,13;7660;8,12;66,13;2242565,041
Halmahera Tengah;61,69;454180;12,94;65,55;14,12;1,42;0,26;8258;8,79;63,65;2416986,726
Kepulauan Sula;61,24;359497;12,73;63,64;8,98;0,93;0,22;7221;8,73;63,18;2484456,924
Halmahera Selatan;63,77;310161;12,77;64,11;5,03;0,43;0,09;7298;7,92;65,75;7221424,096
Halmahera Utara;67,44;238878;13,59;67,75;4,55;0,38;0,07;7713;8,38;69,47;5592458,625
Halmahera Timur;66,61;545238;12,74;66,74;15,39;1,93;0,34;8127;8,06;68,64;3484594,74
Pulau Morotai;64,98;265761;12,43;62,38;7,27;1,5;0,42;6655;7,10;66,99;1528461,541
Pulau Taliabu;60,04;387664;12,58;60,62;7,53;0,82;0,13;6659;7,46;61,95;1449280,969
Kota Ternate;68,84;578185;15,73;80,03;3,14;0,62;0,2;13632;11,58;70,85;10632249,58
Kota Tidore Kepulauan;67,2;435277;14,2;70,83;6,1;0,4;0,06;8608;9,64;69,22;2880484,17
Fakfak;66,37;544783;14,09;67,87;23,25;4,87;1,4;7608;8,64;68,41;5263400,013
Kaimana;62,67;412130;11,98;64,59;16,11;4,02;1,42;8304;8,28;64,64;2740004,475
Teluk Wondama;58,06;557702;11,34;59,82;32,42;8,76;3,36;8198;6,87;59,93;1561238,496
Teluk Bintuni;58,72;644838;12,17;64;30,57;10,68;4,69;9821;7,95;60,60;31332444,58
Manokwari;66,53;629074;13,64;71,67;21,06;6,41;2,54;11994;8,16;68,56;9767074,924
Sorong Selatan;64,15;323369;12,88;61,93;18,41;3,63;0,99;6252;7,26;66,15;1908124,621
Sorong;64,02;357900;13,43;65,29;28,61;8,24;3,07;7507;8,02;66,02;11066402,29
Raja Ampat;62,73;347203;12,02;63,66;17,16;2,61;0,67;7958;7,80;64,70;2960189,546
Tambrauw;58,09;362884;11,62;52,9;33,66;5,28;1,23;5001;5,07;59,96;236188,7797
Maybrat;63,19;359500;12,91;59,15;32,2;9,67;3,76;5391;6,67;65,17;734878,7165
Manokwari Selatan;65,45;635595;12,33;59,72;29,94;7,77;2,67;5511;6,57;67,48;844693,7279
Pegunungan Arfak;65,16;628281;11,62;56,15;34,83;7,7;2,52;5102;5,08;67,18;207470,3542
Kota Sorong;68,44;725117;14,22;77,98;15,45;3,13;0,94;13815;11,05;70,46;15895710,81
Merauke;65,17;346502;13,59;69,98;10,35;2,4;0,94;10498;8,56;66,93;16023135,34
Jayawijaya;57,54;420471;11,93;57,79;38,33;15,11;7,61;7835;5,30;59,39;8331539,258
Jayapura;64,91;589521;14,19;71,84;13,13;2,67;0,8;10375;9,79;66,93;16381306,12
Nabire;65,93;579753;11,59;68,53;24,81;9,93;4,74;9195;9,70;67,97;11084220,05
Kepulauan Yapen;67,03;618487;12,72;67,76;27,13;6,4;2,04;7785;9,19;69,06;4250565,016
Biak Numfor;66,16;543971;13,95;72,57;25,5;5,15;1,48;10211;10,22;68,20;5486107,535
Paniai;64,27;479877;10,48;56,58;37,16;6,52;1,59;6767;4,38;66,27;4181796,546
Puncak Jaya;63;604945;6,96;48,33;35,71;9,49;3,35;5523;3,61;64,98;1404627,28
Mimika;70,29;836301;12,17;74,13;14,54;5,51;2,44;12035;9,91;72,27;54834540,28
Boven Digoel;57,78;458012;11,06;61,51;19,66;4,52;1,41;8300;8,55;59,64;4818163,774
Mappi;62,94;330427;10,54;58,3;25,5;4,66;1,24;6513;6,30;64,91;2957682,978
Asmat;55,74;364728;8,74;50,37;26,6;4,9;1,44;6066;4,82;57,53;2470834,234
Yahukimo;63,81;414936;7,6;49,25;38,82;9,3;3,01;5030;4,02;65,80;2422166,837
Pegunungan Bintang;62,37;560354;6,14;45,21;30,51;9,02;3,38;5633;2,61;64,34;1913609,001
Tolikara;63,6;382936;8,28;49,68;32,9;5,95;1,54;5142;3,63;65,58;1593214,049
Sarmi;64,26;518491;11,81;63,45;14,41;3,01;0,95;6860;8,53;66,26;2819691,883
Keerom;64,59;655056;12,41;66,59;16,83;2,99;0,8;9136;8,00;66,60;2855769,646
Waropen;64,24;655060;12,78;65,34;30,95;6,25;1,69;7018;9,18;66,24;2052786,845
Supiori;63,82;447524;12,73;62,3;38,79;7,35;2,02;5820;8,60;65,81;1009182,249
Mamberamo Raya;55,76;683779;11,78;52,2;29,13;6,87;2,39;4807;5,65;57,55;1646546,467
Nduga;53,42;341566;3,29;30,75;38,24;7,07;2,02;4181;0,97;55,12;1216569,563
Lanny Jaya;64,01;464328;8,35;48;39,52;16,35;8,68;4569;3,19;66,00;1828866,552
Mamberamo Tengah;61,49;388619;8,63;47,23;36,93;14,5;7,11;4671;2,90;63,44;1163650,255
Yalimo;63,35;330040;8,83;48,08;34,52;12,23;6,18;4860;2,58;65,34;1221433,891
Puncak;63,99;630074;5,19;42,7;38,24;9,7;2,98;5702;1,96;65,61;1400812,168
Dogiyai;63,62;492905;10,57;55,41;31,12;6,3;1,82;5709;4,92;65,60;1313231,87
Intan Jaya;63,52;627128;7,36;47,51;42,92;8,73;2,27;5593;2,64;65,51;1248658,733
Deiyai;63,13;579263;9,8;50,11;43,65;7,79;2,34;4958;3,00;65,11;1389136,926
Kota Jayapura;68,35;992610;15;80,16;11,49;2,27;0,76;15176;11,55;70,38;32325747,5
