id;KOTKAB
462;Sukoharjo
463;Sumba Barat
464;Sumba Barat Daya
465;Sumba Tengah
466;Sumba Timur
467;Sumbawa
468;Sumbawa Barat
469;Sumedang
470;Sumenep
471;Supiori
472;Tabalong
473;Tabanan
474;Takalar
475;Tambrauw
476;Tana Tidung
477;Tana Toraja
478;Tanah Bumbu
479;Tanah Datar
480;Tanah Laut
481;Tangerang
482;Tanggamus
483;Tanjung Jabung Barat
484;Tanjung Jabung Timur
485;Tapanuli Selatan
486;Tapanuli Tengah
487;Tapanuli Utara
488;Tapin
489;Tasikmalaya
490;Tebo
491;Tegal
492;Teluk Bintuni
493;Teluk Wondama
494;Temanggung
495;Timor Tengah Selatan
496;Timor Tengah Utara
497;Toba Samosir
498;Tojo Una-Una
499;Tolikara
500;Toli-Toli
501;Toraja Utara
502;Trenggalek
503;Tuban
504;Tulangbawang
505;Tulang Bawang Barat
506;Tulungagung
507;Wajo
508;Wakatobi
509;Waropen
510;Way Kanan
511;Wonogiri
512;Wonosobo
513;Yahukimo
514;Yalimo
