KOTKAB;lat;long
Pegunungan Arfak;-1,16;133,71
Pegunungan Bintang;-4,56;140,51
Pekalongan;-7,05;109,62
Pelalawan;0,15;102,25
Pemalang;-7,06;109,43
Penajam Paser Utara;-1,29;116,51
Penukal Abab Lematang Ilir;-3,24;104,01
Pesawaran;-5,49;105,08
Pesisir Barat;-5,29;104,12
Pesisir Selatan;-1,72;100,89
Pinrang;-3,65;119,56
Pohuwato;0,71;121,72
Polewali Mandar;-3,34;119,14
Ponorogo;-7,87;111,47
Poso;-1,65;120,44
Pringsewu;-5,33;104,99
Probolinggo;-7,87;113,48
Pulang Pisau;-2,69;113,95
Pulau Morotai;2,37;128,4
Pulau Taliabu;-1,83;124,77
Puncak;-3,86;137,61
Puncak Jaya;-3,45;137,84
Purbalingga;-7,31;109,43
Purwakarta;-6,56;107,43
Purworejo;-7,7;110
Raja Ampat;-1,09;130,88
Rejang Lebong;-3,45;102,67
Rembang;-6,81;111,43
Rokan Hilir;1,65;100,8
Rokan Hulu;1,04;100,44
Rote Ndao;-10,74;123,12
Sabu Raijua;-10,55;121,83
Sambas;1,36;109,28
Sampang;-7,04;113,24
Sanggau;0,14;110,52
Sarmi;-2,47;139,2
Sarolangun;-2,32;102,71
Sekadau;-0,07;111
Seluma;-4,05;102,71
Semarang;-7,18;110,47
Seram Bagian Barat;-3,13;128,4
Seram Bagian Timur;-3,42;130,23
Serang;-6,14;106,04
Seruyan;-3,01;112,43
Siak;0,81;101,8
Sidenreng Rappang;-3,77;120,02
Sidoarjo;-7,47;112,67
Sigi;-1,39;119,88
Sijunjung;-0,66;101,07
Sikka;-8,68;122,13
Sinjai;-5,22;120,11
Sintang;-0,14;112,81
Situbondo;-7,79;114,19
Sleman;-7,73;110,4
Solok;-0,96;100,89
Solok Selatan;-1,42;101,25
Soppeng;-4,35;119,93
Sorong;-1,12;131,49
Sorong Selatan;-1,77;132,16
Sragen;-7,43;111,01
Subang;-6,35;107,76
Sukabumi;-6,86;106,95
Sukamara;-2,63;111,24
Sukoharjo;-7,65;110,86
Sumba Barat;-9,65;119,39
Sumba Barat Daya;-9,54;119,14
Sumba Tengah;-9,49;119,7
Sumba Timur;-9,98;120,34
Sumbawa;-8,65;117,36
Sumbawa Barat;-8,93;116,89
Sumedang;-6,83;107,95
Sumenep;-6,93;113,91
Supiori;-0,73;135,64
Tabalong;-1,86;115,57
Tabanan;-8,46;115,05
Takalar;-5,42;119,49
Tambrauw;-0,78;132,39
Tana Tidung;3,55;117,08
Tana Toraja;-3,08;119,74
Tanah Bumbu;-3,45;115,57
Tanah Datar;-0,48;100,57
Tanah Laut;-3,77;114,81
Tangerang;-6,19;106,49
Tanggamus;-5,3;104,57
Tanjung Jabung Barat;-1,11;103,08
Tanjung Jabung Timur;-1,1;103,82
Tapin;-2,92;115,05
Tasikmalaya;-7,65;108,14
Tebo;-1,26;102,35
Tegal;-6,86;109,1
Teluk Bintuni;-1,91;133,33
Teluk Wondama;-2,86;134,32
Temanggung;-7,27;110,09
Timor Tengah Selatan;-9,78;124,42
Timor Tengah Utara;-9,45;124,6
Tojo Una-Una;-1,1;121,54
Tolikara;-3,48;138,48
Toli-Toli;0,88;120,76
Toraja Utara;-2,86;119,84
Trenggalek;-8,18;111,62
Tuban;-6,9;112,03
Tulangbawang;-4,32;105,5
Tulang Bawang Barat;-4,53;105,08
Tulungagung;-8,09;111,96
Wajo;-4,02;120,07
Wakatobi;-5,65;123,89
Waropen;-1,75;136,17
Way Kanan;-4,5;104,57
Wonogiri;-7,88;111,05
Wonosobo;-7,36;109,9
Yahukimo;-4,49;139,53
Yalimo;-3,79;139,45
Karo;3,11;98,27
Kota Ambon;-3,66;128,19
Kota Balikpapan;-1,24;116,85
Kota Banda Aceh;5,55;95,32
Kota Bandar Lampung;-5,4;105,27
Kota Bandung;-6,92;107,62
Kota Banjar;-7,37;108,53
Kota Banjar Baru;-3,46;114,81
Kota Banjarmasin;-3,32;114,59
Kota Batam;1,13;104,05
Kota Batu;-7,88;112,53
Kota Baubau;-5,51;122,6
Kota Bekasi;-6,24;106,98
Kota Bengkulu;-3,79;102,26
Kota Bima;-8,46;118,74
Kota Binjai;3,61;98,5
Kota Bitung;1,44;125,12
Kota Blitar;-8,1;112,16
Kota Bogor;-6,6;106,81
Kota Bontang;0,12;117,48
Kota Bukittinggi;-0,3;100,38
Kota Cilegon;-6;106,01
Kota Cimahi;-6,88;107,54
Kota Cirebon;-6,73;108,55
Kota Denpasar;-8,67;115,21
Kota Depok;-6,4;106,79
Kota Dumai;1,67;101,4
Kota Gorontalo;0,54;123,06
Kota Gunungsitoli;1,28;97,61
Kota Jambi;-1,61;103,61
Kota Jayapura;-2,59;140,67
Kota Kediri;-7,85;112,02
Kota Kendari;-4;122,51
Kota Kotamobagu;0,72;124,32
Kota Kupang;-10,18;123,61
Kota Langsa;4,47;97,98
Kota Lhokseumawe;5,18;97,14
Kota Lubuklinggau;-3,3;102,86
Kota Madiun;-7,63;111,53
Kota Magelang;-7,48;110,22
Kota Makasar;-5,15;119,43
Kota Malang;-7,97;112,63
Kota Manado;1,47;124,84
Kota Mataram;-8,58;116,1
Kota Medan;3,6;98,67
Kota Metro;-5,12;105,31
Kota Mojokerto;-7,47;112,44
Kota Padang;-0,95;100,42
Kota Padang Panjang;-0,47;100,4
Kota Padangsidimpuan;1,37;99,27
Kota Pagar Alam;-4,04;103,23
Kota Palangka Raya;-2,22;113,91
Kota Palembang;-2,98;104,78
Kota Palopo;-3;120,2
Kota Palu;-0,9;119,88
Kota Pangkal Pinang;-2,13;106,12
Kota Parepare;-4,01;119,63
Kota Pariaman;-0,63;100,12
Kota Pasuruan;-7,65;112,9
Kota Payakumbuh;-0,23;100,63
Kota Pekalongan;-6,89;109,67
Kota Pekanbaru;0,51;101,45
Kota Pematang Siantar;2,97;99,07
Kota Pontianak;-0,03;109,34
Kota Prabumulih;-3,42;104,24
Kota Probolinggo;-7,78;113,2
Kota Sabang;5,89;95,32
Kota Salatiga;-7,33;110,51
Kota Samarinda;-0,49;117,14
Kota Sawah Lunto;-0,68;100,73
Kota Semarang;-7,01;110,44
Kota Serang;-6,11;106,16
Kota Sibolga;1,74;98,79
Kota Singkawang;0,91;108,99
Kota Solok;-0,79;100,66
Kota Sorong;-0,88;131,26
Kota Subulussalam;2,71;97,92
Kota Sukabumi;-6,93;106,93
Kota Sungai Penuh;-2,06;101,39
Kota Surabaya;-7,26;112,75
Kota Surakarta;-7,58;110,82
Kota Tangerang;-6,2;106,65
Kota Tangerang Selatan;-6,28;106,71
Kota Tanjung Balai;2,97;99,8
Kota Tanjung Pinang;0,92;104,47
Kota Tarakan;3,33;117,58
Kota Tasikmalaya;-7,35;108,22
Kota Tebing Tinggi;3,33;99,16
Kota Tegal;-6,88;109,13
Kota Ternate;0,77;127,37
Kota Tidore Kepulauan;0,67;127,4
Kota Tomohon;1,32;124,84
Kota Tual;-5,63;132,75
Kota Yogyakarta;-7,8;110,37
Labuhan Batu;2,34;100,17
Labuhan Batu Selatan;1,88;100,17
Labuhan Batu Utara;2,35;99,81
Langkat;3,87;98,31
Mandailing Natal;0,74;99,37
Nagan Raya;4,12;96,49
Nias;1,09;97,74
Nias Barat;1,01;97,48
Nias Selatan;0,71;97,83
Nias Utara;1,32;97,39
Padang Lawas;1,12;99,81
Padang Lawas Utara;1,58;99,63
Pakpak Bharat;2,51;98,22
Pidie;5,07;95,94
Pidie Jaya;5,15;96,2
Samosir;2,63;98,79
Serdang Bedagai;3,34;99,06
Simalungun;2,98;99,28
Simeulue;2,64;96,03
Tapanuli Selatan;1,58;99,28
Tapanuli Tengah;1,85;98,7
Tapanuli Utara;2,04;99,1
Toba Samosir;2,35;99,28
Kota Jakarta Selatan;-6,33;106,81
Kota Jakarta Timur;-6,21;106,85
Kota Jakarta Pusat;-6,21;106,85
Kota Jakarta Barat;-6,21;106,85
Kota Jakarta Utara;-6,21;106,85
