TAHUN;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Bungo;65,77;422801;12,62;69,92;5,8;0,72;0,17;11471;8,27;67,74;17315166,89
Kota Jambi;70,76;529090;15,1;78,37;8,27;1,47;0,4;12056;10,92;72,65;29511691,75
Kota Sungai Penuh;70,22;401966;14,79;75,42;3,03;0,62;0,17;10248;10,32;72,11;7562248,317
Ogan Komering Ulu;65,98;457452;12,6;69,32;12,75;1,91;0,4;10020;8,70;68,20;14815139,63
Ogan Komering Ilir;66,41;375837;11,42;66,82;14,73;2,98;0,86;10725;7,04;68,61;29292965,54
Muara Enim;67,25;390342;11,97;68,74;12,32;1,94;0,43;10951;7,79;68,90;57475853,19
Lahat;64,01;457569;12,34;67,44;15,95;2,64;0,67;9730;8,46;66,04;17231671,29
Musi Rawas;66,05;467766;12,08;66,79;13,5;2,05;0,45;9520;7,52;68,14;19237351,36
Musi Banyuasin;66,58;519797;12;67,69;16,13;3,67;1,11;10088;7,62;68,75;65943884,71
Banyu Asin;66,8;429816;11,75;66,74;11,17;1,14;0,18;9850;7,20;68,97;29100611,08
Ogan Komering Ulu Selatan;64,98;341148;11,75;65,3;10,85;1,17;0,23;8580;7,84;67,04;8971730,782
Ogan Komering Ulu Timur;67,04;343601;12,23;69,28;10,43;1,02;0,14;11505;7,55;69,10;15282540,5
Ogan Ilir;63,46;469746;12,3;67,06;13,36;2,15;0,53;10424;7,86;65,48;11328476,71
Empat Lawang;63,09;341007;12,06;65,25;12,63;1,89;0,49;9350;7,60;65,08;5084151,682
Penukal Abab Lematang Ilir;66,09;412236;12,05;64,7;12,62;1,4;0,23;8196;7,04;68,27;7129729,964
Musi Rawas Utara;63,66;504598;11,57;64,49;19,47;3,24;0,8;9783;6,84;65,68;7194147,707
Kota Palembang;68,74;548563;14,41;78,33;10,89;1,67;0,4;14679;10,53;70,79;155215360,4
Kota Prabumulih;68,27;569769;12,91;74,55;11,59;1,27;0,23;12723;9,96;70,32;7867373,169
Kota Pagar Alam;64,67;342738;12,85;68,31;9,07;0,99;0,16;8795;9,39;66,71;2830358,472
Kota Lubuklinggau;67,14;495213;13,37;74,78;12,71;2,2;0,54;13243;9,89;69,25;6718226,523
Bengkulu Selatan;65,86;394513;13,61;70,63;17,82;3,29;0,82;9837;9,26;67,90;5819775,1
Rejang Lebong;66,65;472555;13,83;70,44;15,85;1,79;0,35;10234;8,28;68,57;9537298,77
